Opportunity_ID,Target
10689,0.9398851
10690,0.9102964
10691,0.5879404
10692,0.8930959
10693,0.95054144
10694,0.95054144
10695,0.9773498
10696,0.9773498
10697,0.9807242
10698,0.98106176
10699,0.98106176
10700,0.9423345
10701,0.96686924
10702,0.94156396
10703,0.9676858
10704,0.9003154
10705,0.90704286
10706,0.66826797
10707,0.66527635
10708,0.6339695
10709,0.6279923
10710,0.9780828
10711,0.98371375
10712,0.9549409
10713,0.97551763
10714,0.21992943
10715,0.7995551
10716,0.96031487
10717,0.89487344
10718,0.27138957
10719,0.91756445
10720,0.9127907
10721,0.9504667
10722,0.88364816
10723,0.89331293
10724,0.9351083
10725,0.61107
10726,0.7982775
10727,0.92008924
10728,0.4715383
10729,0.89135
10730,0.9580909
10731,0.001580013
10732,0.98142195
10733,0.98142195
10734,0.8769501
10735,0.95297617
10736,0.9250242
10737,0.54594225
10738,0.8652617
10739,0.8979116
10740,0.6793476
10741,0.95054144
10742,0.95054144
10743,0.5445321
10744,0.974516
10745,0.974516
10746,0.5445321
10747,0.5445321
10748,0.54594225
10749,0.94772255
10750,0.98763716
10751,0.9877801
10752,0.9877801
10753,0.9634596
10754,0.91815186
10755,0.9250242
10756,0.9817885
10757,0.0019089055
10758,0.0018994426
10759,0.001602314
10760,0.33599952
10761,0.9817885
10762,0.9605983
10763,0.9863138
10764,0.98110926
10765,0.9011042
10766,0.99418193
10767,0.98982435
10768,0.41998369
10769,0.23076123
10770,0.5557522
10771,0.002145356
10772,0.9781724
10773,0.98751056
10774,0.15937173
10775,0.08208767
10776,0.31666654
10777,0.9944786
10778,0.9693913
10779,0.9622046
10780,0.24439664
10781,0.96028876
10782,0.9190771
10783,0.61953497
10784,0.95297617
10785,0.9950718
10786,0.0015449418
10787,0.9605983
10788,0.9863138
10789,0.54594225
10790,0.9610226
10791,0.9863138
10792,0.9816553
10793,0.9795166
10794,0.9795166
10795,0.98110926
10796,0.96686924
10797,0.94091654
10798,0.96686924
10799,0.9676858
10800,0.9423345
10801,0.8430486
10802,0.93917847
10803,0.0011026617
10804,0.98413587
10805,0.001303025
10806,0.9729164
10807,0.84309256
10808,0.895541
10809,0.96574855
10810,0.0024457322
10811,0.0024812096
10812,0.9797203
10813,0.001797178
10814,0.0017263974
10815,0.938214
10816,0.9815763
10817,0.6214777
10818,0.98251015
10819,0.001602314
10820,0.9939051
10821,0.0019089055
10822,0.0013778477
10823,0.9846795
10824,0.0024762836
10825,0.9826399
10826,0.9644885
10827,0.9691827
10828,0.9795166
10829,0.9196905
10830,0.3466443
10831,0.9662616
10832,0.9950718
10833,0.99119544
10834,0.0023715927
10835,0.50698024
10836,0.9797203
10837,0.9785622
10838,0.5647148
10839,0.0023024313
10840,0.9568373
10841,0.0022018766
10842,0.17885247
10843,0.17885247
10844,0.92496383
10845,0.99030966
10846,0.9664315
10847,0.9664315
10848,0.001602314
10849,0.97197783
10850,0.97197783
10851,0.18814744
10852,0.9338106
10853,0.83586854
10854,0.95526206
10855,0.71487033
10856,0.95526206
10857,0.8607979
10858,0.9264896
10859,0.001572308
10860,0.38937235
10861,0.0020478219
10862,0.90635633
10863,0.7014603
10864,0.985024
10865,0.98251015
10866,0.0017550478
10867,0.26142415
10868,0.9196905
10869,0.27067047
10870,0.9196905
10871,0.985024
10872,0.0017220785
10873,0.9011042
10874,0.98982435
10875,0.997141
10876,0.997141
10877,0.92496383
10878,0.9013029
10879,0.49521634
10880,0.31606644
10881,0.9817885
10882,0.94378304
10883,0.6747659
10884,0.37205923
10885,0.9625634
10886,0.978875
10887,0.35492164
10888,0.98110926
10889,0.9863138
10890,0.98110926
10891,0.98110926
10892,0.9828726
10893,0.0016409813
10894,0.98110926
10895,0.98110926
10896,0.99418193
10897,0.99418193
10898,0.005671933
10899,0.67292905
10900,0.9860211
10901,0.983931
10902,0.89782137
10903,0.002269136
10904,0.97138715
10905,0.95187056
10906,0.8552407
10907,0.118757956
10908,0.0014075615
10909,0.98251015
10910,0.0022374059
10911,0.94660777
10912,0.87113976
10913,0.9684304
10914,0.0020090118
10915,0.9797203
10916,0.91815186
10917,0.77215517
10918,0.8736361
10919,0.4641895
10920,0.985024
10921,0.99030966
10922,0.9649352
10923,0.9605983
10924,0.9823976
10925,0.98084944
10926,0.0029343015
10927,0.001602314
10928,0.98251015
10929,0.87113976
10930,0.76096034
10931,0.8940656
10932,0.97093964
10933,0.8652617
10934,0.80151963
10935,0.17187819
10936,0.6703503
10937,0.0018840636
10938,0.397811
10939,0.8351051
10940,0.9433635
10941,0.0019489884
10942,0.0019489884
10943,0.0018787716
10944,0.0016813867
10945,0.46641666
10946,0.959435
10947,0.9649352
10948,0.58163553
10949,0.9649352
10950,0.0018255172
10951,0.0016361441
10952,0.8944535
10953,0.021540664
10954,0.8944535
10955,0.58922786
10956,0.13928339
10957,0.57524717
10958,0.1621429
10959,0.0016037838
10960,0.94660777
10961,0.9714598
10962,0.0020090118
10963,0.0021747893
10964,0.9693913
10965,0.0025429416
10966,0.95187056
10967,0.98251015
10968,0.0020538385
10969,0.9693913
10970,0.91607124
10971,0.96169126
10972,0.9780983
10973,0.73294854
10974,0.94042057
10975,0.1393158
10976,0.983114
10977,0.9837569
10978,0.92849016
10979,0.9844988
10980,0.71388054
10981,0.9509795
10982,0.77215517
10983,0.77215517
10984,0.0023104423
10985,0.0024052672
10986,0.993723
10987,0.993723
10988,0.7543737
10989,0.4461755
10990,0.04575524
10991,0.009374909
10992,0.0011961346
10993,0.9496054
10994,0.0023715927
10995,0.8965646
10996,0.9159226
10997,0.9096606
10998,0.985024
10999,0.8076081
11000,0.0013389367
11001,0.7407051
11002,0.9877614
11003,0.0017449976
11004,0.9686067
11005,0.08874761
11006,0.63584733
11007,0.9823976
11008,0.48188865
11009,0.9781724
11010,0.9846795
11011,0.87113976
11012,0.9877614
11013,0.23856917
11014,0.5662537
11015,0.58163553
11016,0.0019394894
11017,0.1393158
11018,0.5269264
11019,0.9891719
11020,0.42026383
11021,0.83586854
11022,0.92902166
11023,0.9817847
11024,0.24394667
11025,0.997141
11026,0.997141
11027,0.9887714
11028,0.23228356
11029,0.9781724
11030,0.30072367
11031,0.9846795
11032,0.9960692
11033,0.9846795
11034,0.0020677936
11035,0.0017935162
11036,0.9634057
11037,0.9586325
11038,0.7090819
11039,0.9681575
11040,0.0017194966
11041,0.98110926
11042,0.5462119
11043,0.9649352
11044,0.9430021
11045,0.0015099979
11046,0.80151963
11047,0.34646037
11048,0.1779204
11049,0.3593469
11050,0.9954235
11051,0.1393158
11052,0.002439147
11053,0.0023715927
11054,0.0018407151
11055,0.565089
11056,0.002003688
11057,0.9430021
11058,0.001677694
11059,0.9649352
11060,0.81214184
11061,0.32880458
11062,0.0019829366
11063,0.993723
11064,0.993723
11065,0.9738152
11066,0.9837569
11067,0.33883452
11068,0.9837569
11069,0.0015185821
11070,0.9677774
11071,0.0017194966
11072,0.1393158
11073,0.8736361
11074,0.8047752
11075,0.8593862
11076,0.9486577
11077,0.9649352
11078,0.890893
11079,0.9765212
11080,0.9918183
11081,0.92939854
11082,0.0015992299
11083,0.0021058284
11084,0.0016361441
11085,0.85656637
11086,0.974516
11087,0.9823976
11088,0.0015086889
11089,0.0020292632
11090,0.0015934183
11091,0.9826546
11092,0.983538
11093,0.9113916
11094,0.5879404
11095,0.7810337
11096,0.98110926
11097,0.018240334
11098,0.2648527
11099,0.971772
11100,0.971772
11101,0.920604
11102,0.9695701
11103,0.7703853
11104,0.9844988
11105,0.002749231
11106,0.0021144534
11107,0.002003688
11108,0.98251015
11109,0.36778378
11110,0.9840349
11222,0.94846
11223,0.993723
11224,0.993723
11225,0.001602314
11226,0.95187056
11227,0.0012332428
11228,0.974516
11229,0.99352443
11230,0.6703503
11231,0.6323218
11232,0.6323218
11233,0.98859173
11234,0.97253394
11235,0.0018881928
11236,0.98413587
11237,0.07183151
11238,0.8736361
11239,0.003284542
11240,0.0018840636
11241,0.9649352
11242,0.9817885
11243,0.77219826
11244,0.0024882676
11245,0.98251015
11246,0.0018840636
11247,0.0019935407
11248,0.9092925
11249,0.98251015
11250,0.29788178
11251,0.9823976
11252,0.97316664
11253,0.4461004
11254,0.99247134
11255,0.9691827
11256,0.97253394
11257,0.0016818494
11258,0.001347264
11259,0.99030966
11260,0.99030966
11261,0.69058436
11262,0.997141
11263,0.9846795
11264,0.97297025
11265,0.083528414
11266,0.0011331863
11267,0.9781724
11268,0.49943405
11269,0.6548328
11270,0.41212425
11271,0.18829799
11272,0.8953138
11273,0.9693913
11274,0.98251015
11275,0.98251015
11276,0.993723
11277,0.993723
11278,0.89025885
11279,0.21537292
11280,0.8039439
11281,0.9817847
11282,0.9813214
11283,0.034567267
11284,0.57651323
11285,0.49383715
11286,0.21162763
11287,0.97093964
11288,0.97719383
11289,0.76071125
11290,0.61603296
11291,0.25283092
11292,0.001602314
11293,0.98110926
11294,0.0017194966
11295,0.8548017
11296,0.0016210836
11297,0.0010919424
11298,0.6264607
11299,0.9846795
11300,0.88578117
11301,0.9375073
11302,0.39948937
11303,0.938214
11304,0.841582
11305,0.008754467
11306,0.0016958952
11307,0.001602314
11308,0.98251015
11309,0.9713807
11310,0.86195093
11311,0.8682403
11312,0.606495
11313,0.71388054
11314,0.0011350001
11315,0.95187056
11316,0.9797203
11317,0.97608256
11318,0.9792317
11319,0.96724343
11320,0.98251015
11321,0.8788019
11322,0.9781724
11323,0.943143
11324,0.98110926
11325,0.010236768
11326,0.0017001567
11327,0.0030444756
11328,0.95296425
11329,0.0018840636
11330,0.001602314
11331,0.87350196
11332,0.9234844
11333,0.98251015
11334,0.98251015
11335,0.99030966
11336,0.5654607
11337,0.7183397
11338,0.95447755
11339,0.58163553
11340,0.5299836
11341,0.0013389367
11342,0.97570246
11343,0.9013029
11344,0.41567066
11345,0.974516
11346,0.0017027484
11347,0.8624931
11348,0.9837294
11349,0.98251015
11350,0.0019102743
11351,0.0026551902
11352,0.98251015
11353,0.97230816
11354,0.0029031346
11355,0.0021578583
11356,0.8203022
11357,0.95187056
11358,0.001602314
11359,0.0014081032
11360,0.9422982
11361,0.970709
11362,0.970709
11363,0.0014337512
11364,0.0009948238
11365,0.997141
11366,0.9691827
11367,0.0020418086
11368,0.9713807
11369,0.0019406076
11370,0.959435
11371,0.8953138
11372,0.96724343
11373,0.0018840636
11374,0.64237255
11375,0.9950718
11376,0.9422982
11377,0.63766766
11378,0.7536938
11379,0.9196905
11380,0.9841074
11381,0.8841798
11382,0.9113916
11383,0.97988373
11384,0.5040481
11385,0.0018927257
11386,0.9877614
11387,0.19410335
11388,0.99162173
11389,0.0015146992
11390,0.002269136
11391,0.002269136
11392,0.002269136
11393,0.49943405
11394,0.88364816
11395,0.88941675
11396,0.98251015
11397,0.9422982
11398,0.87842697
11399,0.47510877
11400,0.9600718
11401,0.96308833
11402,0.88206005
11403,0.3557649
11404,0.001602314
11405,0.001602314
11406,0.0041072955
11407,0.99191535
11408,0.98736054
11409,0.23961559
11410,0.9703799
11411,0.92333686
11412,0.9686067
11413,0.9433635
11414,0.9691827
11415,0.0023201406
11416,0.8953138
11417,0.9338106
11418,0.60047835
11419,0.9707562
11420,0.7595772
11421,0.003840998
11422,0.00091609283
11423,0.098410375
11424,0.8552407
11425,0.9733974
11426,0.985899
11427,0.9813214
11428,0.0010988531
11429,0.0014693128
11430,0.0012954854
11431,0.0015104351
11432,0.0015104351
11433,0.0032930733
11434,0.0032930733
11435,0.9863138
11436,0.25585917
11437,0.72145075
11438,0.83744854
11439,0.9496054
11440,0.98437405
11441,0.95297617
11442,0.0021580504
11443,0.81214184
11444,0.6741006
11445,0.985024
11446,0.985024
11447,0.0015104351
11448,0.0032930733
11449,0.0011898533
11450,0.5123736
11451,0.34300694
11452,0.5107393
11453,0.7040119
11454,0.81214184
11455,0.003840998
11456,0.9714598
11457,0.91607124
11458,0.97135645
11459,0.0012543519
11460,0.011684989
11461,0.6968701
11462,0.7706368
11463,0.3189368
11464,0.9329895
11465,0.81882405
11466,0.7852905
11467,0.9300765
11468,0.93790805
11469,0.81412137
11470,0.7309439
11471,0.89135
11472,0.23727497
11473,0.997141
11474,0.08805695
11475,0.9338106
11476,0.96028876
11477,0.985024
11478,0.9837294
11479,0.92369455
11480,0.6596676
11481,0.0014432364
11482,0.0014957451
11483,0.0016361441
11484,0.0018112013
11485,0.027073521
11486,0.020890985
11487,0.0009354629
11488,0.9817885
11489,0.98110926
11490,0.98465264
11491,0.9834589
11492,0.5476544
11493,0.6998085
11494,0.8812976
11495,0.8343357
11496,0.0017369211
11497,0.89135
11498,0.0014446216
11499,0.38683653
11500,0.98413587
11501,0.997141
11502,0.9580735
11503,0.4962491
11504,0.5768387
11505,0.9693913
11506,0.9196905
11507,0.0019435827
11508,0.968664
11509,0.98864067
11510,0.98259246
11511,0.98110926
11512,0.98110926
11513,0.95543116
11514,0.9817885
11515,0.016434459
11516,0.9582608
11517,0.9196905
11518,0.001602314
11519,0.985024
11520,0.9357417
11521,0.98251015
11522,0.9501509
11523,0.0016624318
11524,0.9817885
11525,0.95054144
11526,0.95054144
11527,0.9817885
11528,0.9817885
11529,0.9693913
11530,0.0017176322
11531,0.0013946077
11532,0.88780344
11533,0.8643125
11534,0.13125338
11535,0.94894177
11536,0.5166176
11537,0.8481548
11538,0.0022872526
11539,0.8954121
11540,0.9713599
11541,0.31271636
11542,0.9693913
11543,0.9859307
11544,0.7343513
11545,0.96570486
11546,0.93719304
11547,0.90119314
11548,0.8103639
11549,0.90119314
11550,0.002749231
11551,0.0022829825
11552,0.6149634
11553,0.0629857
11554,0.6149634
11555,0.0021747893
11556,0.0018965147
11557,0.89678186
11558,0.5629491
11559,0.87351745
11560,0.46950614
11561,0.0017961422
11562,0.0020172822
11563,0.815893
11564,0.90690213
11565,0.98251015
11566,0.36558288
11567,0.95054144
11568,0.67876846
11569,0.9693913
11570,0.305202
11571,0.8068855
11572,0.0341427
11573,0.38683653
11574,0.78873694
11575,0.9169373
11576,0.8960159
11577,0.8068855
11578,0.17237116
11579,0.0016361441
11580,0.9795166
11581,0.95054144
11582,0.9715057
11583,0.941011
11584,0.93218863
11585,0.9851877
11586,0.97857463
11587,0.941011
11588,0.985024
11589,0.985024
11590,0.8242843
11591,0.7998325
11592,0.95010024
